date,탄핵,김광석
2016-05-29,0,3
2016-06-05,0,3
2016-06-12,0,2
2016-06-19,0,4
2016-06-26,0,2
2016-07-03,0,2
2016-07-10,0,2
2016-07-17,0,3
2016-07-24,0,3
2016-07-31,0,1
2016-08-07,0,2
2016-08-14,1,1
2016-08-21,1,2
2016-08-28,0,1
2016-09-04,0,2
2016-09-11,0,2
2016-09-18,1,2
2016-09-25,0,1
2016-10-02,1,3
2016-10-09,1,2
2016-10-16,0,2
2016-10-23,14,3
2016-10-30,4,2
2016-11-06,7,2
2016-11-13,11,2
2016-11-20,14,2
2016-11-27,22,2
2016-12-04,66,3
2016-12-11,13,3
2016-12-18,5,3
2016-12-25,5,9
2017-01-01,2,4
2017-01-08,4,3
2017-01-15,4,5
2017-01-22,5,4
2017-01-29,7,4
2017-02-05,8,3
2017-02-12,4,3
2017-02-19,6,1
2017-02-26,14,3
2017-03-05,100,2
2017-03-12,21,1
2017-03-19,5,1
2017-03-26,5,1
2017-04-02,4,2
2017-04-09,2,2
2017-04-16,1,1
2017-04-23,2,3
2017-04-30,2,2
2017-05-07,5,2
2017-05-14,4,1
2017-05-21,4,2
2017-05-28,2,1
2017-06-04,2,2
2017-06-11,2,1
2017-06-18,1,2
2017-06-25,1,2
2017-07-02,0,2
2017-07-09,2,1
2017-07-16,1,2
2017-07-23,2,2
2017-07-30,1,1
2017-08-06,1,4
2017-08-13,1,3
2017-08-20,1,4
2017-08-27,0,4
2017-09-03,1,6
2017-09-10,1,6
2017-09-17,1,30
2017-09-24,1,41
2017-10-01,0,13
2017-10-08,1,10
2017-10-15,1,7
2017-10-22,1,6
2017-10-29,1,4
2017-11-05,0,6
2017-11-12,1,3
2017-11-19,1,2
2017-11-26,0,2
2017-12-03,1,4
2017-12-10,1,2
2017-12-17,2,2
2017-12-24,1,3
2017-12-31,1,2
2018-01-07,1,2
2018-01-14,1,2
2018-01-21,2,1
2018-01-28,1,2
2018-02-04,1,2
2018-02-11,1,2
2018-02-18,1,1
2018-02-25,1,2
2018-03-04,2,2
2018-03-11,2,1
2018-03-18,2,1
2018-03-25,1,2
2018-04-01,1,1
2018-04-08,1,1
2018-04-15,1,1
2018-04-22,1,3
2018-04-29,1,2
2018-05-06,1,2
2018-05-13,1,1
2018-05-20,0,1
2018-05-27,0,1
2018-06-03,1,2
2018-06-10,2,3
2018-06-17,1,2
2018-06-24,1,1
2018-07-01,1,2
2018-07-08,1,1
2018-07-15,1,1
2018-07-22,1,1
2018-07-29,1,1
2018-08-05,1,1
2018-08-12,1,2
2018-08-19,2,3
2018-08-26,0,1
2018-09-02,2,2
2018-09-09,1,2
2018-09-16,0,3
2018-09-23,1,1
2018-09-30,1,2
2018-10-07,1,2
2018-10-14,1,2
2018-10-21,2,2
2018-10-28,2,2
2018-11-04,1,1
2018-11-11,3,1
2018-11-18,3,1
2018-11-25,1,2
2018-12-02,2,1
2018-12-09,1,1
2018-12-16,1,2
2018-12-23,2,1
2018-12-30,2,1
2019-01-06,1,2
2019-01-13,0,1
2019-01-20,0,1
2019-01-27,2,2
2019-02-03,2,1
2019-02-10,2,1
2019-02-17,1,2
2019-02-24,2,1
2019-03-03,3,1
2019-03-10,2,2
2019-03-17,1,2
2019-03-24,1,1
2019-03-31,1,1
2019-04-07,0,1
2019-04-14,1,2
2019-04-21,2,1
2019-04-28,2,1
2019-05-05,2,2
2019-05-12,1,2
2019-05-19,3,1
2019-05-26,3,1
2019-06-02,3,1
2019-06-09,1,2
2019-06-16,1,2
2019-06-23,1,2
2019-06-30,1,1
2019-07-07,1,2
2019-07-14,1,1
2019-07-21,1,1
2019-07-28,1,2
2019-08-04,1,1
2019-08-11,3,3
2019-08-18,2,1
2019-08-25,1,1
2019-09-01,0,2
2019-09-08,5,3
2019-09-15,2,2
2019-09-22,4,2
2019-09-29,5,1
2019-10-06,2,1
2019-10-13,2,1
2019-10-20,1,2
2019-10-27,2,1
2019-11-03,2,1
2019-11-10,1,1
2019-11-17,1,1
2019-11-24,1,1
2019-12-01,2,1
2019-12-08,2,1
2019-12-15,5,1
2019-12-22,1,1
2019-12-29,1,2
2020-01-05,2,2
2020-01-12,2,1
2020-01-19,1,1
2020-01-26,1,0
2020-02-02,2,1
2020-02-09,1,1
2020-02-16,1,2
2020-02-23,35,2
2020-03-01,12,1
2020-03-08,2,2
2020-03-15,1,2
2020-03-22,2,2
2020-03-29,1,1
2020-04-05,1,1
2020-04-12,3,1
2020-04-19,1,1
2020-04-26,1,1
2020-05-03,0,1
2020-05-10,0,1
2020-05-17,0,2
2020-05-24,1,2
2020-05-31,1,1
2020-06-07,1,1
2020-06-14,0,1
2020-06-21,1,1
2020-06-28,1,1
2020-07-05,1,0
2020-07-12,1,2
2020-07-19,2,1
2020-07-26,1,1
2020-08-02,1,1
